epoch,train_loss,a2t_R@1,a2t_R@5,a2t_R@10,t2a_R@1,t2a_R@5,t2a_R@10
1,1.8505343960883467,0.006868686992675066,0.03353535383939743,0.06303030252456665,0.011313132010400295,0.05454545468091965,0.09212121367454529
2,1.5260081989732803,0.013737373985350132,0.0597979798913002,0.10707070678472519,0.01494949497282505,0.07919192314147949,0.14787879586219788
3,1.410695529400185,0.01292929332703352,0.05535353720188141,0.09898990392684937,0.014141414314508438,0.08363636583089828,0.1365656554698944
4,1.3269381002988365,0.011717172339558601,0.061414144933223724,0.12080808728933334,0.01858585886657238,0.09010101109743118,0.14868687093257904
5,1.2661973249164795,0.013333333656191826,0.06181818246841431,0.12202020734548569,0.020202020183205605,0.10303030908107758,0.1688888967037201
6,1.2193162289448685,0.014141414314508438,0.0747474804520607,0.14141415059566498,0.019797980785369873,0.1090909093618393,0.19353535771369934
7,1.1765676842786916,0.016969697549939156,0.0832323282957077,0.1519192010164261,0.024646464735269547,0.11717171967029572,0.20363636314868927
8,1.1513830612533387,0.01494949497282505,0.08888889104127884,0.1644444465637207,0.020606061443686485,0.12161616235971451,0.20161616802215576
9,1.118290670818102,0.016161616891622543,0.07393939793109894,0.13818182051181793,0.020202020183205605,0.11030303686857224,0.18949495255947113
10,1.0947032091921194,0.019393939524888992,0.09333333373069763,0.17414142191410065,0.024646464735269547,0.14020203053951263,0.226262629032135
11,1.0702661896568773,0.021010100841522217,0.09575758129358292,0.18060606718063354,0.02222222276031971,0.1325252503156662,0.22464647889137268
12,1.050488861784599,0.016565656289458275,0.08242424577474594,0.15676768124103546,0.024242425337433815,0.11919192224740982,0.2072727382183075
13,1.0343622367229475,0.017777778208255768,0.07959596067667007,0.15434344112873077,0.02222222276031971,0.10787878930568695,0.20000000298023224
14,1.0184353685178678,0.021010100841522217,0.09898990392684937,0.17454546689987183,0.028282828629016876,0.1385858654975891,0.22141414880752563
15,1.0013888030570017,0.020606061443686485,0.0981818214058876,0.175353541970253,0.021414142102003098,0.128484845161438,0.23111112415790558
